,Name,ISO,Score,Status,Last Update,Source
79,Guinea-Bissau,GW,3.0,Reconsider Travel,2019-10-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/guinea-bissau-travel-advisory.html
80,Guyana,GY,2.0,Exercise Increased Caution,2019-05-30,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/guyana-travel-advisory.html
81,Haiti,HA,4.0,Do Not Travel,2020-03-05,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/haiti-travel-advisory.html
82,Honduras,HO,3.0,Reconsider Travel,2019-06-24,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/honduras-travel-advisory.html
83,Hong Kong,HK,2.0,Exercise Increased Caution,2020-02-20,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/hong-kong-travel-advisory.html
84,Hungary,HU,1.0,Exercise Normal Precautions,2019-08-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/hungary-travel-advisory.html
85,Iceland,IC,1.0,Exercise Normal Precautions,2019-06-20,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/iceland-travel-advisory.html
86,India,IN,2.0,Exercise Increased Caution,2019-03-08,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/india-travel-advisory.html
87,Indonesia,ID,2.0,Exercise Increased Caution,2019-12-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/indonesia-travel-advisory.html
88,Iran,IR,4.0,Do Not Travel,2020-02-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/iran-travel-advisory.html
89,Iraq,IZ,4.0,Do Not Travel,2020-01-11,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/iraq-travel-advisory.html
90,Ireland,EI,1.0,Exercise Normal Precautions,2019-11-04,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/ireland-travel-advisory.html
91,"Israel, The West Bank and Gaza",IS,3.0,Reconsider Travel,2020-03-13,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/israel-west-bank-and-gaza-travel-advisory.html
92,Italy,IT,3.0,Reconsider Travel,2020-02-29,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/italy-travel-advisory.html
93,Jamaica,JM,2.0,Exercise Increased Caution,2019-04-15,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/jamaica-travel-advisory.html
94,Japan,JA,2.0,Exercise Increased Caution,2020-02-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/japan-travel-advisory.html
95,Jordan,JO,2.0,Exercise Increased Caution,2018-12-12,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/jordan-travel-advisory.html
96,Kazakhstan,KZ,1.0,Exercise Normal Precautions,2019-04-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/kazakhstan-travel-advisory.html
97,Kenya ,KE,2.0,Exercise Increased Caution,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/kenya-travel-advisory.html
98,Kiribati,KR,1.0,Exercise Normal Precautions,2019-11-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/kiribati-travel-advisory.html
99,Kosovo,KV,2.0,Exercise Increased Caution,2019-05-31,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/kosovo-travel-advisory.html
100,Kuwait,KU,1.0,Exercise Normal Precautions,2019-05-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/kuwait-travel-advisory.html
101,Kyrgyzstan,KG,1.0,Exercise Normal Precautions,2020-01-13,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/the-kyrgyz-republic-travel-advisory.html
102,Laos,LA,1.0,Exercise Normal Precautions,2019-10-01,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/laos-travel-advisory.html
103,Latvia,LG,1.0,Exercise Normal Precautions,2019-07-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/latvia-travel-advisory.html
104,Lebanon,LE,3.0,Reconsider Travel,2019-10-21,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/lebanon-travel-advisory.html
105,Lesotho,LT,1.0,Exercise Normal Precautions,2019-12-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/lesotho-travel-advisory.html
106,Liberia,LI,1.0,Exercise Normal Precautions,2019-01-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/liberia-travel-advisory.html
107,Libya,LY,4.0,Do Not Travel,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/libya-travel-advisory.html
108,Liechtenstein,LS,1.0,Exercise Normal Precautions,2019-10-08,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/Liechtenstein-Travel-Advisory.html
109,Lithuania,LH,1.0,Exercise Normal Precautions,2019-06-04,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/lithuania-travel-advisory.html
110,Luxembourg,LU,1.0,Exercise Normal Precautions,2020-01-29,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/luxembourg-travel-advisory.html
111,Macau,MC,2.0,Exercise Increased Caution,2020-02-11,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/macau-travel-advisory.html
